한국어,영어,등급,접속사,유의어
가리다,hide,3,을/를,
폭발하다,explode,3,을/를,
갈다,grind,3,을/를,
감기다,to be wounded,3,,
감동하다,to be (emotionally) moved,3,이/가,
갖추다,to be equipped with,3,,
거칠다,to be rough,3,,
무너지다,to collapse,3,이/가,
붕과되다,to collapse,3,이/가,
결석하다,to be absent,3,,
경력을 쌓다,to build one's career,3,,
계획을 세우다,to make plans,3,,
계획을 짜다,to make plans,3,,
고민하다,to give a lot of thought to something,3,을/를,
고풍스럽다,to be old-fashioned,3,,
고블거리다,to be curly,3,,
괴롭히다,to bother,3,,
굉장하다,to be striking,3,,
구부러지다,to be bent,3,,
구비되다,to be possessed,3,,
굳다,to harden,3,을/를,
굵다,to be thick,3,을/를,
굽다,to grill/broil,3,을/를,
기다랗다,to be long,3,,
길을 잃다,to lose one's way,3,,
깔끔하다,to be neat,3,,
꼼꼼하다,meticulous,3,,
꼽다,to choose (as reason),3,,
꽂다,to put into,3,,
끌리다,to be attracted,3,,
끼어들다,to break in,3,,
끼우다,to tuck (something) in,3,,
낯설다,to be unfamiliar,3,,
넉넉하다,to be enough,3,,
넘어가다,to go over (something),3,,
네모나다,to be squared,3,,
노력하다,to make an effort,3,,
녹음하다,to record,3,,
느긋하다,to have a relaxed personality,3,,
느리다,to be slow,3,,
능력을 발휘하다,to show one's ability,3,,
늦추다,to put off/to make later,3,,
배려하다,to be thoughtful,3,,
다정하다,to be warm-hearted,3,,
담기다,to contain,3,,
답답하다,to feel impatient/frustrated,3,,
당하다,to have (an accident)/to be the victim of,3,,
당황하다,to be embarassed,3,,
대단하다,to be impressive,3,,
덤벙대다,to be careless,3,,
덮이다,to be covered,3,,
데치다,to boil lightly,3,,
도전하다,to challenge,3,,
독특하다,to be unique,3,,
돌보다,to take care of,3,,
동그랗다,to be round,3,,
두다,to leave something (somewhere),3,,
둔하다,to be oblivious,3,,
뒤집다,to flip over,3,,
든든하다,to feel reassured,3,,
막막하다,to feel helpless,3,,
말리다,to dry,3,,
모으다,to gather,3,,
모자라다,to be short of,3,,
몰다,to drive,3,,
몰라보다,to fail to recognize,3,,
몰리다,to be cornered,3,,
무시하다,to ignore,3,,
무치다,to mix,3,,
묶이다,to be tied,3,,
물리다,to be bitten,3,,
미끄러지다,to slip,3,,
미루다,to put off,3,,
바뀌다,to be changed,3,,
반복되다,to be repeated,3,,
반복하다,to repeat,3,,
반죽하다,to knead,3,,
발견하다,to discover,3,,
발전하다 ,to develop,3,,
밟히다,to be stepped on,3,,
침몰하다,to sink,3,,
보살피다,to take care of,3,,
복학하다,to be reinstated at school,3,,
부담스럽다,to be a burden,3,,
부딪히다,to bump into,3,,
부럽다,to be envious,3,,
부족하다,to be insufficient,3,,
부지런하다,to be diligent,3,,
분실하다,to lose one's way,3,,
불성실하다,to be insincere,3,,
불안하다,to feel insecure,3,,
발생하다,to break out/to occur,3,,
비롯되다,to originate,3,,
비슷하다,to be similar,3,,
비우다,to empty,3,,
빠지다,to be left out/to fall out,3,,
빨개지다,to be flushed,3,,
뿌리다,to sprinkle,3,,
사귀다,to go out,3,,
어울리다,go well together,3,,
사망하다,to die,3,,
사소하다,to be trivial,3,,
삶다,to boil,3,,
생기다,to form,3,,
섞다,to mix,3,,
섞이다,to be mixed,3,,
서성이다,to hang around,3,,
서운하다,to feel disappointed,3,,
설득하다,to persuade,3,,
성공하다,to succeed,3,,
성묘하다,to visit one's ancestor's grave,3,,
세련되다,to be sophisticated,3,,
세배하다,to greet on New Years Day,3,,
소용없다,to be useless,3,,
소중하다,to be precious,3,,
손질하다,to take care of,3,,
숨지다,to die,3,,
스치다,to get past,3,,
습득하다,to find/pick up,3,,
승차하다,to board,3,,
시시하다,to be dull,3,,
실감나다,to feel the reality of,3,,
신중하다,to be cautious,3,,
실례이다,to be rude,3,,
실시하다,to execute,3,,
실종되다,to be missing (person),3,,
심각하다,to be serious,3,,
쌓이다,to be piled up,3,,
썰다,to chop/slice,3,,
쏟다,to spill,3,,
아깝다,what a pity(loss),3,,
안기다,to be embraced,3,,
안정되다,to be stable,3,,
알뜰하다,to be saving,3,,
알차다,to be rich in contents,3,,
앞두다,to be close at hand,3,,
애타다,to fret about,3,,
양념하다,to season,3,,
어리다,to be young,3,,
얹히다,to be piled up,3,,
얻다,to obtain,3,,
엄청나다,to be immense (in degree or intensity),3,,
엄하다,to be strict,3,,
엉망이다,to be a mess,3,,
연애하다,to date,3,,
중단되다,to be suspended,3,,
영원하다,to be eternal,3,,
예약하다,to make a reservation,3,,
완성하다,to complete,3,,
완성되다,to be completed,3,,
외우다,to memorize,3,,
용서하다,to forgive,3,,
아우하다,to be elegant,3,,
웬만하다,to be tolerable,3,,
유창하다,to be fluent,3,,
의지하다,to depend on,3,,
이루다,to accomplish,3,,
이루어지다,to be accomplished,3,,
이별하다,to break up,3,,
익히다,to cook thoroughly,3,,
잃어버리다,to lose one's way,3,,
입사하다,to enter a company,3,,
입원하다,to be hospitalized,3,,
입학하다,to be admitted to a school,3,,
자랑스럽다,to be proud of,3,,
양보하다,to yield (to),3,,
자상하다,to be thoughtful,3,,
자연스럽다,to look natural,3,,
잠기다,to be locked,3,,
잡히다,to be caught,3,,
재혼하다,to remarry,3,,
저렴하다,to be inexpensive,3,,
저장되다,to be saved,3,,
적당하다,to be reasonable,3,,
적절하다,to be appropriate,3,,
적성에 맞다,to have an aptitude for,3,,
젊다,to be yound,3,,
접다,to fold,3,,
정리하다,to organize,3,,
정하다,to decide,3,,
제대하다,to be discharged from military service,3,,
제작하다,to produce,3,,
제출하다 ,to submit,3,,
조리하다,to cook ,3,,
조리다,to boil down,3,,
조심하다,to be careful,3,,
조용하다,to be quite,3,,
졸업하다,to graduate,3,,
주어지다,to be given,3,,
주의하다,to be cautious,3,,
지각하다,to be late,3,,
지겹다,to be tired of,3,,
지다,to lose one's way,3,,
지루다,to be bored,3,,
지원하다 ,to apply,3,,
지장이 없다,to have no difficulty in doing,3,,
지치다,to be exhausted,3,,
집중하다,to concentrate,3,,
쫓기다,to be chased after,3,,
찌다,to steam,3,,
찌푸리다,to frown,3,,
찍다,to pick/to choose,3,,
찢기다,to be torn,3,,
찢어지다,to be torn,3,,
차분하다,to be calm,3,,
차지하다,to account for,3,,
챙기다,to take care of,3,,
첨부하다,to attach,3,,
청혼하다,to propose,3,,
체험하다,to experience,3,,
촌스럽다,to be out of style,3,,
추천하다,to recommend,3,,
충돌하다,to crash,3,,
쾌적하다,to be pleasant,3,,
키우다,to bring up,3,,
타다,to burn,3,,
털털하다,to be free and easy-going,3,,
통통하다,chubby,3,,
퇴원하다,to be discharged from the hospital,3,,
튀기다,to fry,3,,
튀다,to splash,3,,
튀어나오다,to rush out,3,,
파이다,to be dug,3,,
퍼지다,to spread,3,,
펴다,to spread,3,,
편집하다,to edit,3,,
포기하다,to give up,3,,
포함하다,to include,3,,
표현하다,to express,3,,
푸짐하다,to be abundant,3,,
허전하다,to feel empty,3,,
헛디디다,to slide down,3,,
헤어지다,to break up,3,,
확실하다,to be certain,3,,
